tie	jacket,suit
suit	jacket,tie
head	body,hand,eye,voice
hand	body,head,eye,voice
seat	body,head,eye,voice
doctor	nurse,lawyer
lawyer	doctor,nurse
lookout	thief,mugging,chase,burglar
line	plot,cast,title,character
plot	line,cast,title,character
line	news,lot,joke,half,hour,show,cast,brainstorm
line	essay,title
line	goods,sales,business,delivery
line	roll,cloth,kit,length,cod,hook
line	writing,typewriting,manuscript,headline,copy
line	telephone,hotline
line	telephone,computer,facsimile,plug
line	protein,molecule,material,product
